ID,PW_bemerkung_extern,bibliographie,link_image,link_manifest,length
14254,,"9e année, 1934, n° 5-8, p. 178-184",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97953470/f186/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97953470/manifest.json,312
14256,,"9e année, 1934, n° 5-8, p. 193-196",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97953470/f201/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97953470/manifest.json,312
14267,,"n° 4, janvier 1930, s.p.",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6109628c/f24/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6109628c/manifest.json,62
14268,"Bemerkenswerter Text, als Kopie vorhanden","n° 6, mai 1930, p. 6-10",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61017643/f15/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61017643/manifest.json,68
14279,,p. 105-118,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61112882/f116/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61112882/manifest.json,445
14284,,"3e année, 1928, n° 3, p. 132-134",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/f144/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/manifest.json,577
14285,,"3e année, 1928, n° 3, p. 135-139",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/f147/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/manifest.json,577
14286,,"3e année, 1928, p. 228-230",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/f204/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/manifest.json,577
14289,,"3e année, 1928, n° 7, p. 295-302",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/f271/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/manifest.json,577
14291,,"3e année, 1928, n° 10, p. 447-448",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/f423/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/manifest.json,577
14292,,"4e année, 1929, n° 1, p. 28-33",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/f40/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/manifest.json,650
14297,,"4e année, 1929, n° 7, p. 322-329",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/f326/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/manifest.json,650
14298,,"4e année, 1929, n° 8-9, p. 412-415",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/f416/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/manifest.json,650
14300,,"5e année, 1930, n° 3, p. 153-157",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/f163/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/manifest.json,744
14301,,"5e année, 1930, n° 1, p. 45-51",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/f55/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/manifest.json,744
14304,,"5e année, 1930, n° 5, p. 273-274",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/f283/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/manifest.json,744
14305,,"5e année, 1930, n° 6, p. 300-306",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/f310/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/manifest.json,744
14306,,"5e année, 1930, n° 6, p. 321-329",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/f331/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952556/manifest.json,744
14309,,"6e année, 1931, n° 4, p. 215-216",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226316k/f226/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226316k/manifest.json,599
14310,,"6e année, 1931, n° 4, p. 227",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226316k/f238/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226316k/manifest.json,599
14313,,"6e année, 1931, n° 7-8, p. 354-357",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226316k/f365/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226316k/manifest.json,599
14318,,"7e année, 1932, n° 6-7, p. 281-285",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9796461x/f315/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9796461x/manifest.json,470
14321,,p. 42-52,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260384/f54/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260384/manifest.json,516
14322,,p. 125-128,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260384/f137/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260384/manifest.json,516
14323,,"n° 1, p. 35",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/f49/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/manifest.json,602
14324,,p. 218-220,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/f232/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/manifest.json,602
14326,,"n° 11, p. 462-463 [texte p. 463]",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/f476/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/manifest.json,602
14346,,"4e année, n° 81, 1er mai 1928, p. 470-471",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3062234b/f145/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3062234b/manifest.json,347
14350,,"4e année, p. 926-927",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3059490j/f273/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3059490j/manifest.json,409
14354,,"5e année, p. 817-820",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3060536k/f811/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3060536k/manifest.json,1154
14355,,"5e année, p. 336-337",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3060536k/f342/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3060536k/manifest.json,1154
14360,,"n° 146, p. 80-81",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3059500g/f94/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3059500g/manifest.json,960
14362,,p. 127-129,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30586861/f142/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30586861/manifest.json,727
14363,,"n° 170, p. 110-112",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30516648/f124/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30516648/manifest.json,819
14364,,"n° 176, p. 396",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30516648/f384/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k30516648/manifest.json,819
14366,,"n° 234, p. 33",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3061593x/f47/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3061593x/manifest.json,446
14368,,"5e année, p. 476-479",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3060536k/f479/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3060536k/manifest.json,1154
14373,,"n °8-9, p. 409-411 (Texte : p. 409-410)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/f413/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/manifest.json,650
14374,,"n° 1, p. 51-53",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/f63/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/manifest.json,650
