id,PW_bemerkung_extern,PW_Abbildung,project_id
10314,,-1,2
10327,,-1,2
10331,,-1,2
10332,,-1,2
10340,,-1,2
10341,,-1,2
10342,Es folgt im gleichen Heft ein Beitrag zur Kunst von Redon.,-1,2
10344,,-1,2
10346,,-1,2
10347,,-1,2
10350,,-1,2
10351,,-1,2
10356,,-1,2
10358,,-1,2
10359,,-1,2
10360,,-1,2
10361,,-1,2
10362,,-1,2
10363,,-1,2
10365,,-1,2
10366,,-1,2
10367,,-1,2
10368,,-1,2
10369,,-1,2
10370,,-1,2
10371,,-1,2
10372,,-1,2
10373,,-1,2
10374,,-1,2
10375,,-1,2
10376,,-1,2
10377,,-1,2
10378,,-1,2
10379,,-1,2
10380,,-1,2
10381,,-1,2
10387,?,-1,2
10394,,-1,2
10395,,-1,2
10396,,-1,2
10397,"Sehr interessanter Text, da Impressionismus in die Tradition der Malerei eingebettet wird; Meier-Graefe stellt sich einen fiktiven Gesprächspartner vor, um seine Vorstellungen vom Impressionismus zu plausiblisieren, tritt damit in die literarische Tradition der Gespräche ein (s.Beiträge zu Jugendstil und Kulturkritik ). Zu Beginn macht er die deutsche Kritik am Impressionismus lächerlich, indem er die Übertriebenheit der Reaktion, die im deusch-französischen Kulturkampf mündet, darstellt. Hier ist ein Bewußtsein für die Bedeutungsverschiebungen bzw. Mißverständnisse, die mit dem Transfer einhergehen, zu erkennen.",-1,2
10398,Hier einmal Farbe positiv ausgelegt. Vielleicht Signacs Interpretation Delacroixs als Hintergrund für diese Auslegung hinzunehmen? Neoimpressionismus 1898 im Pan veröffentlicht.,-1,2
10400,"Zur Kunst unserer Zeit: konzentriert sich auf das Münchener Kunstleben, z.B. auf die dortigen Jahres- und internationalen Ausstellungen. Wenige, oftmals zur zwei Aufsätze, bestimmen einen Band (2 Bde. pro Jahr), dafür sind aufwendige Tafeln mit Reproduktion in großer Zahl beigegeben. Wenn es sich nicht um Ausstellungsbesprechungen handelt, schreibt man in der Regel über einzelne deutsche, aber auch französische und englische Künstler oder widmet sich einer besonderen Kunstgattung, z.b. der Schlachten-/ Marinenmalerei oder unterschiedlicher Techniken wie Graphik, Plakatkunst.",-1,2
10401,"England hat Frankreich als Vorbild abgelöst, wird als stagnierend begriffen; zit. Auszug könnte als Schlüsseltext firmieren.",-1,2
10405,,-1,2
10408,,-1,2
10409,,-1,2
10410,,-1,2
10411,,-1,2
10417,,-1,2
10418,,-1,2
10424,,-1,2
10427,,-1,2
10428,,-1,2
10429,"Zu gebrauchen, wenn unter den vielen stereotypisierten Texten kein aussagekräftigerer vorhanden ist._x0018_ Zeitschrift in Verbindung mit der Deutschen Gesellschaft für christliche Kunst hrsg. von der Gesellschaft für christliche Kunst G.M.B.H. München",-1,2
10444,Referenz,-1,2
10445,,-1,2
10446,,-1,2
10447,,-1,2
10448,,-1,2
10449,formale Schönheit vs. seelische Tiefe,-1,2
10450,,-1,2
10451,"Holzschnitt, Olympia, Porträt, Begriff der Phantasie Liebermann nimmt Manet zur Grundlage seiner Definition von Kunst.",-1,2
10452,,-1,2
10453,,-1,2
10454,,-1,2
10455,,-1,2
10456,,-1,2
10457,,-1,2
10459,,-1,2
10460,,-1,2
10461,"evtl. ein interessanter Text. Kessler erklärt, was in seinen Augen Moderne ausmacht, dort wo man es im Zusammenhang mit Whistler nicht erwartet.",-1,2
10462,,-1,2
10463,,-1,2
10464,,-1,2
10465,,-1,2
10466,,-1,2
10467,,-1,2
10469,,-1,2
10470,,-1,2
10471,,-1,2
10474,,-1,2
10479,,-1,2
10480,,-1,2
10481,,-1,2
10482,,-1,2
10484,,-1,2
10485,,-1,2
10486,,-1,2
10487,"Artikel bzw. Buch als Text in Betracht ziehen, sofern sich nicht zeitlich frühere grundlegende Diskussionen zum Neoimpressionismus finden lassen, die diesen auch als Verkörperung des reinen Stils deuten.",-1,2
10488,,-1,2
10525,"Interessant, um zu zeigen, wie Parameter der Kunsttheorie auf die französische Malerei übertragen werden. Unterschied zwischen Drama und Theatralität? Wann wird welcher Begriff verwendet?",-1,2
10528,,-1,2
10534,"Evtl. als Schlüsseltext, weil: Fürsprache für Moderne, aber am Beispiel des Dubois, was sonst nicht gewöhnlich ist; Blick auf Skulptur, was relativ selten ist mit Ausnahme von Rodin",-1,2
10536,,-1,2
10539,Nachschlagen Künstlernamen,-1,2
10543,Auszüge sind interessant: gallisch-germanischer Gegensatz von Tiefe und Oberflächlichkeit; Beschreibung künstlerischer Mode.,-1,2
10547,,-1,2
10548,,-1,2
10549,,-1,2
10550,,-1,2
10553,Der erste Teil des Ausatzes fehlt in der Ausgabe von Kunst für Alle in der Stabi. Evtl. in einer anderen Bibliothek suchen.,-1,2
10556,"Dieser Auszug ist interessant, könnte zeigen, daß Stereotypen sich zurückverfolgen lassen bis zur älteren Kunst bzw. daß das Bild vom 18. Jahrhundert - seit der behaupteten Eigenständigkeit der französischen Kunst - nicht mehr revidiert wurde, was Oberflächlichkeit und Eleganz angeht. Feste Zuschreibung dieser Qualitäten werden hier vorgeführt. Diskrepanz von Kultur und Zivilisationklingen an. Sittenverfall ist auch ein Stichwort, daß an Frankreich immer wieder herangetragen wird, genauso wie das Theaterhafte. Dieser Text könnte einleitend in Panorama der Klischees gehören, zumal die ""negativen"" Werte zugleich positiv gedeutet werden. Deutlich wird, daß das Wesenhafte immer wieder Thema ist.",-1,2
10557,,-1,2
10559,,-1,2
10561,,-1,2
10562,,-1,2
10565,,-1,2
10567,,-1,2
10568,,-1,2
10570,,-1,2
10572,,-1,2
10573,,-1,2
10577,,-1,2
10585,,-1,2
10586,,-1,2
10587,,-1,2
10588,"interessant, daß Andersartigkeit als solche nicht negativ bewertet, im Gegenteil, voll und ganz akzeptiert wird.",-1,2
10589,,-1,2
10590,,-1,2
10591,,-1,2
10594,,-1,2
10595,,-1,2
10596,,-1,2
10597,,-1,2
10598,,-1,2
10599,,-1,2
10600,"interessant im Vgl. zu anderen Darstellungen über den Künstlern; auf die Publikationszeit wäre dann zu achten; z.B. das Totenmal als Erfolg für ihn in der deutschen Kritik, eine bestimmte Ausstellung (Dresden?); die ersten Seiten fehlen in der Ausgabe am KHI, also dann wäre andere zu konsultieren.",-1,2
10601,,-1,2
10602,,-1,2
10603,,-1,2
10604,,-1,2
10605,,-1,2
10606,,-1,2
10607,,-1,2
10608,,-1,2
10609,,-1,2
10610,,-1,2
10611,,-1,2
10613,,-1,2
10614,,-1,2
10626,Datum: Seitenzahl,-1,2
