ID,Volume_ID,_journal-id,liens iiif,liens de citation (page),liens de citation (volume),bibliographie
15573,8640,1411.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k7522165g/f1.image,supplément
14385,8640,1518.0,,x,,
14389,8641,1568.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k360915?rk=42918;4,
14390,8642,1568.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k36087x?rk=85837;2,
14394,8643,1568.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k36008s/canvas/f101,https://gallica.bnf.fr/ark:/12148/bpt6k36008s/f101,,
14455,8644,1499.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k534566q/f1.image,
14456,8645,1427.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k483700q/f1.image,
14461,8646,1499.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k534813s/f1.image,
14502,8647,1485.0,,x,,
14503,8648,1504.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k6248725h.item,
14522,8649,1476.0,,x,,
14570,8650,1550.0,,x,,
14577,8651,1408.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k203170x?rk=42918;4,
14591,8652,1485.0,,x,,
14595,8653,1485.0,,x,,
14596,8654,1452.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k4781683b/f1.image,.
14599,8655,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k228050s/f1.image,
14601,8656,1408.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203112m/canvas/f536,https://gallica.bnf.fr/ark:/12148/bpt6k203112m/f536.item,,
14603,8657,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k228407z/f1.image,
14606,8658,1485.0,,x,,
14613,8659,1499.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k524647g,
14615,8660,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k229120b/f1.image,
14617,8661,1485.0,,x,,
14619,8662,1408.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2031198/canvas/f117,https://gallica.bnf.fr/ark:/12148/bpt6k2031198/f117.item,,
14623,8663,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k230316n/f1.image,
14624,8664,1518.0,,x,,
14625,8665,1485.0,,x,,
14631,8666,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k230673h/f1.image,
14632,8667,1518.0,,x,,
14635,8668,1485.0,,x,,
14636,8669,1408.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2031206/canvas/f443,https://gallica.bnf.fr/ark:/12148/bpt6k2031206/f443.image.r=%22le%20salon%20de%22,,
14641,8670,1543.0,,x,,
14645,8671,1516.0,,x,,
14647,8672,1408.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203124q/canvas/f536,https://gallica.bnf.fr/ark:/12148/bpt6k203124q/f536.image.r=%22le%20salon%20de%201887%22,,
14650,8673,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k231415v/f1.image,
14651,8674,1485.0,,x,,
14652,8675,1518.0,,x,,
14658,8676,1485.0,,x,,
14660,8677,1408.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k203126g?rk=42918;4,
14666,8678,1602.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k87148k?rk=21459;2,
14667,8679,1411.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k7538193x.item,
14668,8680,1408.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k203129m?rk=42918;4,
14670,8681,1490.0,,x,,
14679,8682,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k232555t/f1.image,
14684,8683,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k232975r/f1.image,
14688,8684,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2333098/f1.image,
14690,8685,1452.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k4785708z/f1.image,
14691,8686,1485.0,,x,,
14697,8687,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2336965,
14698,8688,1485.0,,x,,
14703,8689,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2340791/f1.image,
14705,8690,1408.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2031465?rk=21459;2,
14708,8691,1485.0,,x,,
14710,8692,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2344586/f1.image,
14711,8693,1408.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2031418?rk=42918;4,
14712,8694,1485.0,,x,,
14713,8695,1602.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k871775?rk=64378;0,
14716,8696,1485.0,,x,,
14734,8697,1499.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k522706g.item,
14753,8698,1516.0,,x,,
14755,8699,1555.0,,x,,
14756,8700,1427.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k460444c/f1.image,
14758,8701,1503.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k67325692.item,
14760,8702,1452.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k4781004n.item,
14763,8703,1518.0,,x,,
14764,8704,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k2274302/f1.image,
14774,8705,1516.0,,x,,
14775,8706,1503.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k67078974.item,
14778,8707,1555.0,,x,,
14781,8708,1427.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k464774f/f1.image,
14782,8709,1452.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k4785107g/f1.image,
14787,8710,1555.0,,x,,
14791,8711,1427.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k4700197/f1.image,
14792,8712,1452.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k4788051g/f1.image,
14793,8713,1517.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k236496c/f1.image,
