ID,liens iiif,pages_to_extract
14394,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k36008s/canvas/f101,1
14601,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203112m/canvas/f536,1
14619,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2031198/canvas/f117,1
14636,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2031206/canvas/f443,1
14647,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203124q/canvas/f536,1
14453,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6111456s/canvas/f258,2
14272,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f207,3
14273,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f209,10
14274,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f281,7
14275,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f400,8
14269,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f63,3
14294,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f447,2
14276,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f453,1
14270,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f66,13
14277,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f518,5
14288,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f91,2
14271,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k32951f/canvas/f140,13
10525,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1886/canvas/0063.json,1
10526,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1886/canvas/0329.json,1
10846,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart1/canvas/0007.json,4
10299,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart1/canvas/0015.json,1
10300,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart1/canvas/0245.json,1
10679,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart1/canvas/0341.json,2
10646,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart1/canvas/0359.json,2
10412,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_1/canvas/0066.json,1
10710,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_1/canvas/0161.json,6
10313,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_1/canvas/0133.json,4
10415,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0044.json,4
10688,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0049.json,8
10728,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0058.json,8
10413,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0070.json,1
10414,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0130.json,7
10749,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0243.json,8
10692,https://digi.ub.uni-heidelberg.de/diglit/iiif/pan1895_96_2/canvas/0252.json,3
