journal_id;level;keyword;;;;
9281;1.1 ;Geographie;;;;
9282;1.1.1 ;Herkunftsländer der Künstler;;;;
;1.1.1.1 ;Herkunftsland – Schweiz;;;;
;1.1.1.2 ;Herkunftsland : Deutschland;;;;
;1.1.1.3 ;Herkunftsland : Österreich;;;;
;1.1.1.4 ;Herkunftsland : Russland;;;;
9372;1.1.2 ;Topographie;;;;
;1.1.2.1 ;Belgien;;;;
;1.1.2.1.1 ;Antwerpen;;;;
;1.12.1.2 ;Bruges;;;;
;1.1.2.1.3 ;Brussel;;;;
;1.1.2.1.4 ;Lkau;;;;
;1.1.2.1.5 ;Narnur;;;;
;1.1.2.1.6 ;Ypres;;;;
9124;1.1.2.2 ;Deutschland;;;;
;1.1.2.2.1 ;Aachen;;;;
;1.1.2.2.2 ;Augsburg;;;;
;1.1.2.2.3 ;Baden-Baden;;;;
;1.1.2.2.4 ;Bamberg;;;;
;1.1.22.5 ;Barmen;;;;
;1.1.2.2.6 ;Bayreuth;;;;
9014;1.1.2.2.7 ;Berlin;;;;
;1.1.2.2.8 ;Bielefeld;;;;
;1.1.2.2.9 ;Braunschweig;;;;
;1.1.2.2.10 ;Bremen;;;;
;1.1.2.2.11 ;Breslau;;;;
;1.1.2.2.12 ;Darmstadt;;;;
;1.1.2 2.13 ;Dessau;;;;
;1.1.2.2 14 ;Dresden;;;;
;1.1.2 2.15 ;Dusseldorf;;;;
;1.1 2 2 16 ;Elbafeld;;;;
;1.1.2 2 17 ;Frankfurt am Main;;;;
;1.1.2.2.18 ;Giessen;;;;
;1.1.2.2.19 ;Hagen;;;;
;1.1.2.2.20 ;Hamburg;;;;
;1.1.2.2.21 ;Ilanovcr;;;;
;1.1.2.2.22 ;Hellereu;;;;
;1.1.2.2 23 ;Icne;;;;
;1.1.2.2.24 ;Karlsruhe;;;;
;1.1.2.2.25 ;Kassel;;;;
;1.1.2.2.26 ;Koln;;;;
;1.1.2.2.27 ;Krefeld;;;;
;1.2.2.28 ;Lausscl;;;;
;1.1.2.2.29 ;Leipzig;;;;
;1.1.2.2.30 ;Lübeck;;;;
;1.1.2.2.31 ;Mannheim;;;;
;1.1.2.2.32 ;Meissen;;;;
;1.1.2.2.33 ;Mühldorf am Inn;;;;
;1.1.2.2.34 ;München ;;;;
;1.1.2.2.35 ;Nürnberg;;;;
;1.1.2.2.36 ;Oldenburg;;;;
;1.1.2.2.37 ;Stuttgart;;;;
;1.1.2.2.38 ;Trier;;;;
;1.1.2.2.39 ;Wartburg;;;;
;1.2.2.40 ;Weimar;;;;
;1.1.2.2.41 ;Weissenhof;;;;
;1.1.2.2.42 ;Wiesbaden;;;;
;1.1.2.2.43 ;Würzburg;;;;
;1.1.2.3 ;Lateinamerika;;;;
;1.1.2.4 ;Elsaß-Lothringen;;;;
;1.1.2.4.1 ;Strasbourg;;;;
;1.1.2.4.2 ;Colmar;;;;
;1.1.2.5 ;England;;;;
;1.1.2.5.1 ;London;;;;
9636;1.1.2.6 ;Frankreich;;;;
;1.1.2.6.1 ;Abbcville;;;;
;1.1.2.6.2 ;Amicns;;;;
;1.1.2.6.3 ;Artas;;;;
;1.1.2.6.4 ;Avcsnes;;;;
;1.1.2.6.5 ;Beauvais;;;;
;1.1.2.6.6 ;Blois;;;;
;1.1.2.6.7 ;Bordeaux;;;;
;1.1.2.6.8 ;Calais;;;;
;1.1.2.6.9 ;Cambrai;;;;
;1.1.2.6.10 ;Charleroi;;;;
;1.1.2.6.11 ;Chateaudun;;;;
;1.1.2.6.12 ;Colmar;;;;
;1.1.2.6.13 ;Compiegne;;;;
;1.1.2.6.14 ;Duon;;;;
;1.1.2.6.15 ;Dinant;;;;
;1.12.6.16 ;Douai;;;;
;1.1.2.6.17 ;Dunkerquc;;;;
;1.1.2.6.18 ;Femen;;;;
;1.1.2.6.19 ;La Fere;;;;
;1.1.2.6.20 ;Fontainebleau;;;;
;1.1.2.6.21 ;Laon;;;;
;1.1.2.6.22 ;Lille;;;;
;1.1.2.6.23 ;Louvain;;;;
;1.1.2.6.24 ;Maubeuge;;;;
;1.1.2.6.25 ;Hirnes;;;;
;1.1.2.6.26 ;Nancy;;;;
;1.1.2.6.27 ;Noyon;;;;
9280;1.1.2.6.28 ;Paris;;;;
;1.1.2.6.29 ;Pcronnc;;;;
;1.1.2.6.30 ;Reims;;;;
;1.1.2.6.31 ;Roubaix;;;;
;1.1.2.6.32 ;Saint-Quentin;;;;
;1.1.2.6.33 ;Soissons;;;;
;1.1.2.6.34 ;Tourcoing;;;;
;1.1.2.6.35 ;Troges;;;;
;1.1.2.6.36 ;Valeriaennes;;;;
;1.1.2.6.37 ;Verdun;;;;
;1.1.2.7 ;Holland;;;;
;1.1.2.8 ;Italien;;;;
;1.1.2.8.1 ;Firenze;;;;
;1.1.2.8.2 ;Rome;;;;
