id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords,_link-dfkv,_iiif-link,_journal-name
ILLU_10332_143_0,Girl and Cat,Auguste Renoir,,oil on canvas,,1438,1882.0,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10332,https://digi.ub.uni-heidelberg.de/diglit/kk1911/153,Kunst und Künstler
ILLU_10346_257_0,The death of Laras,Eugène Delacroix,,oil on canvas,62.00x50.00cm,1438,1858.0,1912,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10346,https://digi.ub.uni-heidelberg.de/diglit/kk1912/275,Kunst und Künstler
ILLU_10359_147_0,Une Baignade à Asnières,Georges Seurat,https://www.nationalgallery.org.uk/paintings/georges-seurat-bathers-at-asnieres,oil on canvas,201.00x300.00cm,1368,1884.0,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10359,https://digi.ub.uni-heidelberg.de/diglit/kfa1931_1932/159,Die Kunst für Alle
ILLU_10362_309_0,Landscape,André Derain,,oil on canvas,60.00x73.00cm,1368,1930.0,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10362,https://digi.ub.uni-heidelberg.de/diglit/kfa1931_1932/328,Die Kunst für Alle
ILLU_10365_17_0,Figure at the Rideau Releve,Henri Matisse,,oil on canvas,,1368,1923.0,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10365,https://digi.ub.uni-heidelberg.de/diglit/kfa1929_1930/24,Die Kunst für Alle
ILLU_10397_150_0,Jeune orpheline au cimetière,Eugène Delacroix,,oil on canvas,6.50x5.50cm,1368,1824.0,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10397,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/170,Die Kunst für Alle
ILLU_10397_154_0,La Répétition au foyer de la danse,Edgar Degas,https://commons.wikimedia.org/wiki/File:Edgar_Degas_-_La_R%C3%A9p%C3%A9tition_au_foyer_de_la_danse_-_Google_Art_Project.jpg,oil on canvas,40.64x54.61cm,1368,1870.0,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10397,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/174,Die Kunst für Alle
ILLU_10397_156_0,Les demoiselles des bords de la Seine (été),Gustave Courbet,https://parismuseescollections.paris.fr/node/226654,oil painting,174.00x206.00cm,1368,1857.0,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10397,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/176,Die Kunst für Alle
ILLU_10397_163_0,Self-Portrait With a Bandaged Ear,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Selbstbildnis_mit_verbundenem_Ohr_und_Pfeife.jpeg,oil on canvas,51.00x45.00cm,1368,1889.0,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10397,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/183,Die Kunst für Alle
ILLU_10398_341_0,"Prise de Constantinople par les Croisés (12 avril 1204), dit aussi Entrée des Croisés à Constantinople",Eugène Delacroix,https://donate.louvre.fr/particuliers/~mon-don,,41.10x49.70cm,1368,1841.0,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10398,https://digi.ub.uni-heidelberg.de/diglit/kfa1910_1911/372,Die Kunst für Alle
ILLU_10456_71_0,L'Homme blessé,Gustave Courbet,https://fr.wikipedia.org/wiki/L'Homme_bless%C3%A9_(Courbet),oil on canvas,81.50x97.50cm,1438,1844.0,1905,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10456,https://digi.ub.uni-heidelberg.de/diglit/kk1906/78,Kunst und Künstler
