,id,title,specs,author,link
0,ILLU_10332_143_0,"
            Girl and Cat
          ","
            Oil on canvas | 1882
          ","
      Auguste Renoir
    ",
1,ILLU_10346_257_0,"
            The death of Laras
          ","
            Oil on canvas | 62 x 50cm | 1858
          ","
      Eugène Delacroix
    ",
2,ILLU_10359_147_0,"
            Une Baignade à Asnières
          ","
            Huile sur toile | 201 x 300cm | 1884
          ","
      Georges Seurat
    ",https://www.nationalgallery.org.uk/paintings/georges-seurat-bathers-at-asnieres
3,ILLU_10362_309_0,"
            Landscape
          ","
            Oil on canvas | 60 x 73cm | 1930
          ","
      André Derain
    ",
4,ILLU_10365_17_0,"
            Figure at the Rideau Releve
          ","
            Oil on canvas | 1923
          ","
      Henri Matisse
    ",
5,ILLU_10397_150_0,"
            Jeune orpheline au cimetière
          ","
            Huile sur toile | 0.65 x 0.55m | Salon de 1824 sous le titre «&nbsp;Étude&nbsp;»
          ","
      Eugène Delacroix
    ",
6,ILLU_10397_154_0,"
            La Répétition au foyer de la danse
          ","
            Oil on canvas | 406.4 x 546.1mm | c. 1870
          ","
      Edgar Degas
    ",https://commons.wikimedia.org/wiki/File:Edgar_Degas_-_La_R%C3%A9p%C3%A9tition_au_foyer_de_la_danse_-_Google_Art_Project.jpg
7,ILLU_10397_156_0,"
            Les demoiselles des bords de la Seine (été)
          ","
            Peinture à l'huile | 174 x 206cm | 1857
          ","
      Gustave Courbet
    ",https://parismuseescollections.paris.fr/node/226654
8,ILLU_10397_163_0,"
            Self-Portrait With a Bandaged Ear
          ","
            Oil on canvas | 51 x 45cm | 1889
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Selbstbildnis_mit_verbundenem_Ohr_und_Pfeife.jpeg
9,ILLU_10398_341_0,"
            Prise de Constantinople par les Croisés (12 avril 1204), dit aussi Entrée des Croisés à Constantinople
          ","
            4.11 x 4.97m | Salon de 1841
          ","
      Eugène Delacroix
    ",https://donate.louvre.fr/particuliers/~mon-don
10,ILLU_10456_71_0,"
            L'Homme blessé
          ","
            Huile sur toile | 81.5 x 97.5cm | 1844 and 1854
          ","
      Gustave Courbet
    ",https://fr.wikipedia.org/wiki/L'Homme_bless%C3%A9_(Courbet)
11,ILLU_10456_73_0,"
            L'Atelier du peintre. Allégorie Réelle déterminant une phase de sept années de ma vie artistique (et morale)
          ","
            Huile sur toile | 361 x 598cm | 1855
          ","
      Gustave Courbet
    ",https://en.wikipedia.org/wiki/The_Painter's_Studio
12,ILLU_10459_288_0,"
            Leaving the Conservatory (La Sortie du conservatoire)
          ","
            Oil on canvas | 187.3 x 117.5cm | 1877
          ","
      Pierre-Auguste Renoir
    ",https://commons.wikimedia.org/wiki/File:Pierre_Auguste_Renoir_La-sortie_du_Conservatoire.jpg
13,ILLU_10461_458_0,"
            The Princess from the Land of Porcelain (Sketch for Rose and Silver)
          ","
            Oil on board | 34 x 61.5cm | 1864
          ","
      James Abbott McNeill Whistler
    ",
14,ILLU_10464_125_0,"
            Te Arii Vahine (The Queen. The King's Wife)
          ","
            Oil on canvas | 97 x 130cm | 1896
          ","
      Paul Gauguin
    ",https://pushkinmuseum.art/?lang=en
15,ILLU_10464_162_0,"
            Two Tahitian Women
          ","
            Oil on canvas | 94 x 72.4cm | 1899
          ","
      Paul Gauguin
    ",https://www.metmuseum.org/art/collection/search/436446
16,ILLU_10466_421_0,"
            Pont de Maincy
          ","
            1873
          ","
      Paul Cézanne
    ",https://commons.wikimedia.org/wiki/File:Cezanne_Maincy.JPG
17,ILLU_10479_241_0,"
            Madame Michel-Lévy
          ","
            Pastel on canvas | 74.2 x 51cm | 1882
          ","
      Edouard Manet
    ",https://www.nga.gov/collection/art-object-page.46636.html
18,ILLU_10479_242_0,"
            Portrait of Henri Rochefort
          ","
            Oil on canvas | 81.5 x 66.5cm | 1881
          ","
      Édouard Manet
    ",https://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_Portrait_Henri_Rochefort2.jpg
19,ILLU_10480_271_0,"
            Bridge
          ","
            Lithograph | 40.9 x 53.3cm | 1899
          ","
      Pierre Bonnard
    ",https://clevelandart.org/art/1948.156.9
20,ILLU_10481_292_0,"
            The Dance
          ","
            Oil on canvas | 97 x 116cm | 1719
          ","
      Jean-Antoine Watteau
    ",https://commons.wikimedia.org/wiki/File:1719_Watteau_Der_Tanz_anagoria.JPG
21,ILLU_10481_300_0,"
            The Draughtsman
          ","
            Oil on canvas | 81 x 64cm | 1737
          ","
      Jean-Baptiste-Siméon Chardin
    ",https://commons.wikimedia.org/wiki/File:Jean_Sim%C3%A9on_Chardin_-_The_Draughtsman_-_WGA04753.jpg
22,ILLU_10487_104_0,"
            Polynesian Woman with Children
          ","
            Oil on linen canvas | 97 x 74cm | 1901
          ","
      Paul Gauguin
    ",
23,ILLU_10560_353_0,"
            Emma and Mouche, the dog
          ","
            Oil on canvas | 1902
          ","
      Anders Zorn
    ",
24,ILLU_10652_144_0,"
            After the Bath
          ","
            Pastel | 1883
          ","
      Edgar Degas
    ",
25,ILLU_10654_145_1,"
            The Monet Family in Their Garden at Argenteuil
          ","
            Oil on canvas | 61 x 99.7cm | 1874
          ","
      Edouard Manet
    ",https://www.metmuseum.org/art/collection/search/436965
