id,title,author,link,technique,dimensions,date
ILLU_10332_143_0,Girl and Cat,Auguste Renoir,,Oil on canvas ,, 1882
ILLU_10346_257_0,The death of Laras,Eugène Delacroix,,Oil on canvas , 62 x 50cm , 1858
ILLU_10359_147_0,Une Baignade à Asnières,Georges Seurat,https://www.nationalgallery.org.uk/paintings/georges-seurat-bathers-at-asnieres,Huile sur toile , 201 x 300cm , 1884
ILLU_10362_309_0,Landscape,André Derain,,Oil on canvas , 60 x 73cm , 1930
ILLU_10365_17_0,Figure at the Rideau Releve,Henri Matisse,,Oil on canvas ,, 1923
ILLU_10397_150_0,Jeune orpheline au cimetière,Eugène Delacroix,,Huile sur toile , 0.65 x 0.55m , Salon de 1824 sous le titre «&nbsp;Étude&nbsp;»
ILLU_10397_154_0,La Répétition au foyer de la danse,Edgar Degas,https://commons.wikimedia.org/wiki/File:Edgar_Degas_-_La_R%C3%A9p%C3%A9tition_au_foyer_de_la_danse_-_Google_Art_Project.jpg,Oil on canvas , 406.4 x 546.1mm , c. 1870
ILLU_10397_156_0,Les demoiselles des bords de la Seine (été),Gustave Courbet,https://parismuseescollections.paris.fr/node/226654,Peinture à l'huile , 174 x 206cm , 1857
ILLU_10397_163_0,Self-Portrait With a Bandaged Ear,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Selbstbildnis_mit_verbundenem_Ohr_und_Pfeife.jpeg,Oil on canvas , 51 x 45cm , 1889
ILLU_10398_341_0,"Prise de Constantinople par les Croisés (12 avril 1204), dit aussi Entrée des Croisés à Constantinople",Eugène Delacroix,https://donate.louvre.fr/particuliers/~mon-don,,4.11 x 4.97m , Salon de 1841
ILLU_10456_71_0,L'Homme blessé,Gustave Courbet,https://fr.wikipedia.org/wiki/L'Homme_bless%C3%A9_(Courbet),Huile sur toile , 81.5 x 97.5cm , 1844 and 1854
ILLU_10456_73_0,L'Atelier du peintre. Allégorie Réelle déterminant une phase de sept années de ma vie artistique (et morale),Gustave Courbet,https://en.wikipedia.org/wiki/The_Painter's_Studio,Huile sur toile , 361 x 598cm , 1855
ILLU_10459_288_0,Leaving the Conservatory (La Sortie du conservatoire),Pierre-Auguste Renoir,https://commons.wikimedia.org/wiki/File:Pierre_Auguste_Renoir_La-sortie_du_Conservatoire.jpg,Oil on canvas , 187.3 x 117.5cm , 1877
ILLU_10461_458_0,The Princess from the Land of Porcelain (Sketch for Rose and Silver),James Abbott McNeill Whistler,,Oil on board , 34 x 61.5cm , 1864
ILLU_10464_125_0,Te Arii Vahine (The Queen. The King's Wife),Paul Gauguin,https://pushkinmuseum.art/?lang=en,Oil on canvas , 97 x 130cm , 1896
ILLU_10464_162_0,Two Tahitian Women,Paul Gauguin,https://www.metmuseum.org/art/collection/search/436446,Oil on canvas , 94 x 72.4cm , 1899
ILLU_10466_421_0,Pont de Maincy,Paul Cézanne,https://commons.wikimedia.org/wiki/File:Cezanne_Maincy.JPG,,,1873
ILLU_10479_241_0,Madame Michel-Lévy,Edouard Manet,https://www.nga.gov/collection/art-object-page.46636.html,Pastel on canvas , 74.2 x 51cm , 1882
ILLU_10479_242_0,Portrait of Henri Rochefort,Édouard Manet,https://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_Portrait_Henri_Rochefort2.jpg,Oil on canvas , 81.5 x 66.5cm , 1881
ILLU_10480_271_0,Bridge,Pierre Bonnard,https://clevelandart.org/art/1948.156.9,Lithograph , 40.9 x 53.3cm , 1899
ILLU_10481_292_0,The Dance,Jean-Antoine Watteau,https://commons.wikimedia.org/wiki/File:1719_Watteau_Der_Tanz_anagoria.JPG,Oil on canvas , 97 x 116cm , 1719
ILLU_10481_300_0,The Draughtsman,Jean-Baptiste-Siméon Chardin,https://commons.wikimedia.org/wiki/File:Jean_Sim%C3%A9on_Chardin_-_The_Draughtsman_-_WGA04753.jpg,Oil on canvas , 81 x 64cm , 1737
ILLU_10487_104_0,Polynesian Woman with Children,Paul Gauguin,,Oil on linen canvas , 97 x 74cm , 1901
ILLU_10560_353_0,"Emma and Mouche, the dog",Anders Zorn,,Oil on canvas ,, 1902
ILLU_10652_144_0,After the Bath,Edgar Degas,,Pastel ,, 1883
ILLU_10654_145_1,The Monet Family in Their Garden at Argenteuil,Edouard Manet,https://www.metmuseum.org/art/collection/search/436965,Oil on canvas , 61 x 99.7cm , 1874
ILLU_10655_617_0,Music in the Tuileries Gardens,Edouard Manet,https://www.nationalgallery.org.uk/paintings/edouard-manet-music-in-the-tuileries-gardens,Oil on canvas , 76.2 x 118.1cm , 1862
ILLU_10663_93_0,Still Life with Bread and Eggs,Paul Cézanne,,Oil on canvas , 59 x 76cm , 1865
ILLU_10664_350_0,The Moret Bridge at Sunset,Alfred Sisley,,Oil on canvas , 60 x 73cm , 1892
ILLU_10670_181_0,The Dancer,Auguste Renoir,https://www.nga.gov/collection/art-object-page.1211.html,Oil on canvas , 142.5 x 94.5cm , 1874
ILLU_10670_188_0,Singer in Green,Edgar Degas,,Pastel on paper , 58.4 x 45.7cm , 1884
ILLU_10670_206_0,The Print Collector,Honoré-Victorin Daumier,,Oil on cradled panel , 8 x 13in , c. 1857/63
ILLU_10677_64_0,Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,https://www.metmuseum.org/art/collection/search/436945,Oil on canvas , 165.1 x 127.6cm , 1862
