id,_descrpiton,_artist,_material,_dimensions,_date-artwork,year,keywords
ILLU_10332_143_0,Girl and Cat,Auguste Renoir,oil on canvas,,1882.0,1910,Reproduction
ILLU_10346_257_0,The death of Laras,Eugène Delacroix,oil on canvas,62.00x50.00cm,1858.0,1912,Reproduction
ILLU_10359_147_0,Une Baignade à Asnières,Georges Seurat,oil on canvas,201.00x300.00cm,1884.0,1932,Reproduction
ILLU_10362_309_0,Landscape,André Derain,oil on canvas,60.00x73.00cm,1930.0,1932,Reproduction
ILLU_10365_17_0,Figure at the Rideau Releve,Henri Matisse,oil on canvas,,1923.0,1929,Reproduction
ILLU_10397_150_0,Jeune orpheline au cimetière,Eugène Delacroix,oil on canvas,6.50x5.50cm,1824.0,1910,Reproduction
ILLU_10397_154_0,La Répétition au foyer de la danse,Edgar Degas,oil on canvas,40.64x54.61cm,1870.0,1910,Reproduction
ILLU_10397_156_0,Les demoiselles des bords de la Seine (été),Gustave Courbet,oil painting,174.00x206.00cm,1857.0,1910,Reproduction
ILLU_10397_163_0,Self-Portrait With a Bandaged Ear,Vincent van Gogh,oil on canvas,51.00x45.00cm,1889.0,1910,Reproduction
ILLU_10398_341_0,"Prise de Constantinople par les Croisés (12 avril 1204), dit aussi Entrée des Croisés à Constantinople",Eugène Delacroix,,41.10x49.70cm,1841.0,1911,Reproduction
ILLU_10456_71_0,L'Homme blessé,Gustave Courbet,oil on canvas,81.50x97.50cm,1844.0,1905,Reproduction
ILLU_10456_73_0,L'Atelier du peintre. Allégorie Réelle déterminant une phase de sept années de ma vie artistique (et morale),Gustave Courbet,oil on canvas,361.00x598.00cm,1855.0,1905,Reproduction
ILLU_10459_288_0,Leaving the Conservatory (La Sortie du conservatoire),Pierre-Auguste Renoir,oil on canvas,187.30x117.50cm,1877.0,1906,Reproduction
ILLU_10461_458_0,The Princess from the Land of Porcelain (Sketch for Rose and Silver),James Abbott McNeill Whistler,oil on board,34.00x61.50cm,1864.0,1905,Reproduction
