id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords
ILLU_10332_143_0,Girl and Cat,Auguste Renoir,,oil on canvas,,1438,1882.0,1910,Reproduction
ILLU_10346_257_0,The death of Laras,Eugène Delacroix,,oil on canvas,62.00x50.00cm,1438,1858.0,1912,Reproduction
ILLU_10359_147_0,Une Baignade à Asnières,Georges Seurat,https://www.nationalgallery.org.uk/paintings/georges-seurat-bathers-at-asnieres,oil on canvas,201.00x300.00cm,1368,1884.0,1932,Reproduction
ILLU_10362_309_0,Landscape,André Derain,,oil on canvas,60.00x73.00cm,1368,1930.0,1932,Reproduction
ILLU_10365_17_0,Figure at the Rideau Releve,Henri Matisse,,oil on canvas,,1368,1923.0,1929,Reproduction
ILLU_10397_150_0,Jeune orpheline au cimetière,Eugène Delacroix,,oil on canvas,6.50x5.50cm,1368,1824.0,1910,Reproduction
ILLU_10397_154_0,La Répétition au foyer de la danse,Edgar Degas,https://commons.wikimedia.org/wiki/File:Edgar_Degas_-_La_R%C3%A9p%C3%A9tition_au_foyer_de_la_danse_-_Google_Art_Project.jpg,oil on canvas,40.64x54.61cm,1368,1870.0,1910,Reproduction
ILLU_10397_156_0,Les demoiselles des bords de la Seine (été),Gustave Courbet,https://parismuseescollections.paris.fr/node/226654,oil painting,174.00x206.00cm,1368,1857.0,1910,Reproduction
ILLU_10397_163_0,Self-Portrait With a Bandaged Ear,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Selbstbildnis_mit_verbundenem_Ohr_und_Pfeife.jpeg,oil on canvas,51.00x45.00cm,1368,1889.0,1910,Reproduction
ILLU_10398_341_0,"Prise de Constantinople par les Croisés (12 avril 1204), dit aussi Entrée des Croisés à Constantinople",Eugène Delacroix,https://donate.louvre.fr/particuliers/~mon-don,,41.10x49.70cm,1368,1841.0,1911,Reproduction
ILLU_10456_71_0,L'Homme blessé,Gustave Courbet,https://fr.wikipedia.org/wiki/L'Homme_bless%C3%A9_(Courbet),oil on canvas,81.50x97.50cm,1438,1844.0,1905,Reproduction
ILLU_10456_73_0,L'Atelier du peintre. Allégorie Réelle déterminant une phase de sept années de ma vie artistique (et morale),Gustave Courbet,https://en.wikipedia.org/wiki/The_Painter's_Studio,oil on canvas,361.00x598.00cm,1438,1855.0,1905,Reproduction
ILLU_10459_288_0,Leaving the Conservatory (La Sortie du conservatoire),Pierre-Auguste Renoir,https://commons.wikimedia.org/wiki/File:Pierre_Auguste_Renoir_La-sortie_du_Conservatoire.jpg,oil on canvas,187.30x117.50cm,1438,1877.0,1906,Reproduction
ILLU_10461_458_0,The Princess from the Land of Porcelain (Sketch for Rose and Silver),James Abbott McNeill Whistler,,oil on board,34.00x61.50cm,1438,1864.0,1905,Reproduction
ILLU_10464_125_0,Te Arii Vahine (The Queen. The King's Wife),Paul Gauguin,https://pushkinmuseum.art/?lang=en,oil on canvas,97.00x130.00cm,1438,1896.0,1907,Reproduction
ILLU_10464_162_0,Two Tahitian Women,Paul Gauguin,https://www.metmuseum.org/art/collection/search/436446,oil on canvas,94.00x72.40cm,1438,1899.0,1907,Reproduction
ILLU_10466_421_0,Pont de Maincy,Paul Cézanne,https://commons.wikimedia.org/wiki/File:Cezanne_Maincy.JPG,,,1438,1873.0,1908,Reproduction
ILLU_10479_241_0,Madame Michel-Lévy,Edouard Manet,https://www.nga.gov/collection/art-object-page.46636.html,pastel on canvas,74.20x51.00cm,1438,1882.0,1910,Reproduction
ILLU_10479_242_0,Portrait of Henri Rochefort,Édouard Manet,https://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_Portrait_Henri_Rochefort2.jpg,oil on canvas,81.50x66.50cm,1438,1881.0,1910,Reproduction
ILLU_10480_271_0,Bridge,Pierre Bonnard,https://clevelandart.org/art/1948.156.9,lithograph,40.90x53.30cm,1438,1899.0,1910,Reproduction
ILLU_10481_292_0,The Dance,Jean-Antoine Watteau,https://commons.wikimedia.org/wiki/File:1719_Watteau_Der_Tanz_anagoria.JPG,oil on canvas,97.00x116.00cm,1438,1719.0,1910,Reproduction
ILLU_10481_300_0,The Draughtsman,Jean-Baptiste-Siméon Chardin,https://commons.wikimedia.org/wiki/File:Jean_Sim%C3%A9on_Chardin_-_The_Draughtsman_-_WGA04753.jpg,oil on canvas,81.00x64.00cm,1438,1737.0,1910,Reproduction
ILLU_10487_104_0,Polynesian Woman with Children,Paul Gauguin,,oil on linen canvas,97.00x74.00cm,1438,1901.0,1910,Reproduction
ILLU_10560_353_0,"Emma and Mouche, the dog",Anders Zorn,,oil on canvas,,1368,1902.0,1909,Reproduction
ILLU_10652_144_0,After the Bath,Edgar Degas,,pastel,,1438,1883.0,1907,Reproduction
ILLU_10654_145_1,The Monet Family in Their Garden at Argenteuil,Edouard Manet,https://www.metmuseum.org/art/collection/search/436965,oil on canvas,61.00x99.70cm,1368,1874.0,1911,Reproduction
ILLU_10655_617_0,Music in the Tuileries Gardens,Edouard Manet,https://www.nationalgallery.org.uk/paintings/edouard-manet-music-in-the-tuileries-gardens,oil on canvas,76.20x118.10cm,1438,1862.0,1911,Reproduction
ILLU_10663_93_0,Still Life with Bread and Eggs,Paul Cézanne,,oil on canvas,59.00x76.00cm,1438,1865.0,1906,Reproduction
ILLU_10664_350_0,The Moret Bridge at Sunset,Alfred Sisley,,oil on canvas,60.00x73.00cm,1438,1892.0,1910,Reproduction
ILLU_10670_181_0,The Dancer,Auguste Renoir,https://www.nga.gov/collection/art-object-page.1211.html,oil on canvas,142.50x94.50cm,1438,1874.0,1903,Reproduction
ILLU_10670_188_0,Singer in Green,Edgar Degas,,pastel on paper,58.40x45.70cm,1438,1884.0,1903,Reproduction
ILLU_10670_206_0,The Print Collector,Honoré-Victorin Daumier,,oil on cradled panel,20.32x33.02cm,1438,1857.0,1903,Reproduction
ILLU_10677_64_0,Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,https://www.metmuseum.org/art/collection/search/436945,oil on canvas,165.10x127.60cm,1368,1862.0,1899,Reproduction
ILLU_10709_97_0,The House of Père Eloi,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Das_Haus_von_P%C3%A8re_Eloi.jpeg,oil on canvas,51.00x58.00cm,1438,1890.0,1909,Reproduction
ILLU_10725_396_0,The Banks of the Seine at Argenteuil,Édouard Manet,,oil on canvas,63.20x103.00cm,1438,1874.0,1910,Reproduction
ILLU_10754_263_0,At the Opera: Madame Caron in Faust,Henri de Toulouse-Lautrec,https://art.nelson-atkins.org/objects/7387/at-the-opera-madame-caron-in-faust,"lithograph, 16/100",36.20x26.40cm,1438,1894.0,1907,Reproduction
ILLU_10933_88_0,Still Life with Apples,Paul Cézanne,https://www.getty.edu/art/collection/objects/102380/paul-cezanne-still-life-with-apples-french-1893-1894/,oil on canvas,65.40x81.60cm,1368,1893.0,1912,Reproduction
ILLU_10939_99_0,Champ de blé avec cyprès,Vincent van Gogh,https://www.nationalgallery.org.uk/paintings/vincent-van-gogh-a-wheatfield-with-cypresses,oil on canvas,72.10x90.90cm,1368,1889.0,1913,Reproduction
ILLU_10945_332_0,Claude Monet painting in his studio,Édouard Manet,https://commons.wikimedia.org/wiki/File:Monet_Painting_on_His_Studio_Boat_Edouard_Manet_1874.jpg,oil on canvas,80.00x98.00cm,1368,1874.0,1914,Reproduction
ILLU_10955_69_0,Portrait&nbsp;of&nbsp;the couple&nbsp;Sisley,Auguste Renoir,,oil on canvas,75.00x105.00cm,1438,1868.0,1916,Reproduction
ILLU_10962_306_0,Esterházykeller in Vienna,Adolph of Menzel,https://sammlung.belvedere.at/objects/817/der-esterhazykeller-in-wien,oil on canvas,22.00x28.50cm,1368,1871.0,1918,Reproduction
ILLU_10962_308_0,Dancer,Josef Navrátil,https://sammlung.belvedere.at/objects/789/tanzerin,oil on wood,26.00x20.50cm,1368,,1918,Reproduction
ILLU_10962_309_0,Militia Officer,Wilhelm Trübner,https://sammlung.belvedere.at/objects/204/landwehroffizier,oil on canvas,65.00x52.00cm,1368,1872.0,1918,Reproduction
ILLU_10964_371_0,Etching,Charles Meryon,,,,1368,,1919,Reproduction
ILLU_10976_216_0,The Olive Trees,Vincent van Gogh,,oil on canvas,72.70x91.40cm,1368,1889.0,1929,Reproduction
ILLU_11224_163_0,The Village Girl with a Goatling,Gustave Courbet,,,81.00x65.00cm,1336,1860.0,1911,Reproduction
ILLU_11246_763_0,Portrait of Dr. Gachet,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Bildnis_Doktor_Gachet.jpeg,oil on canvas,67.00x56.00cm,1336,,1912,Reproduction
ILLU_11281_301_0,Field with Poppies,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Field_with_Poppies_(1889).jpg,oil on canvas,72.00x91.00cm,1438,,1911,Reproduction
ILLU_11283_361_0,"Boulevard Montmartre, Spring",Camille Pissarro,,oil on canvas,46.00x55.00cm,1438,1897.0,1911,Reproduction
ILLU_11284_641_1,Le Pont Saint-Michel et le Quai des Grands Augustins,Albert Marquet,https://commons.wikimedia.org/wiki/File:The_Pont_Saint-Michel_and_the_Quai_des_Grands_Augustins_Albert_Marquet_%281912%29.jpg?uselang=fr,,,1438,1912.0,1911,Reproduction
