,year,titel,text
99,1878, , 
289,1882, , 
100,1884, , 
271,1887, , 
245,1888, , 
218,1889, , 
196,1890, , 
272,1894, , 
188,1895, , 
108,1895, , 
221,1898, , 
164,1898, , 
232,1898, , 
247,1899, , 
21,1899, , 
162,1900, , 
256,1902, , 
219,1902, , 
257,1903, , 
197,1903, , 
20,1903, , 
160,1903, , 
105,1903, , 
231,1904, , 
275,1904, , 
183,1904, , 
9,1905, , 
92,1905, , 
7,1905, , 
270,1905, , 
156,1905, , 
217,1906, , 
274,1906, , 
163,1906, , 
8,1906, , 
102,1906, , 
106,1906, , 
18,1906, , 
15,1907, , 
24,1907, , 
10,1907, , 
158,1908, , 
258,1908, , 
233,1908, , 
11,1908, , 
194,1908, , 
187,1908, , 
107,1909, , 
22,1909, , 
195,1909, , 
186,1909, , 
14,1909, , 
234,1909, , 
159,1910, , 
220,1910, , 
206,1910, , 
161,1910, , 
193,1910, , 
0,1910, , 
19,1910, , 
5,1910, , 
23,1910, , 
12,1910, , 
13,1910, , 
32,1911, , 
115,1911, , 
31,1911, , 
17,1911, , 
212,1911, , 
16,1911, , 
235,1911, , 
6,1911, , 
198,1911, , 
191,1911, , 
210,1912, , 
34,1912, , 
192,1912, , 
116,1912, , 
117,1912, , 
118,1912, , 
103,1912, , 
1,1912, , 
33,1912, , 
25,1912, , 
35,1913, , 
284,1913, , 
142,1913, , 
80,1913, , 
26,1913, , 
110,1913, , 
222,1913, , 
119,1913, , 
36,1913, , 
167,1914, , 
111,1914, , 
165,1914, , 
120,1914, , 
27,1914, , 
252,1914, , 
259,1914, , 
248,1914, , 
39,1914, , 
38,1914, , 
37,1914, , 
242,1916, , 
28,1916, , 
29,1918, , 
244,1918, , 
265,1919, , 
112,1919, , 
41,1919, , 
266,1919, , 
240,1920, , 
153,1920, , 
143,1920, , 
121,1920, , 
288,1920, , 
96,1920, , 
73,1920, , 
166,1920, , 
202,1920, , 
168,1920, , 
95,1920, , 
97,1920, , 
267,1920, , 
216,1921, , 
285,1921, , 
144,1921, , 
184,1922, , 
230,1922, , 
276,1922, , 
253,1922, , 
214,1922, , 
268,1922, , 
145,1922, , 
53,1922, , 
122,1922, , 
81,1922, , 
113,1922, , 
54,1922, , 
40,1922, , 
46,1923, , 
47,1923, , 
223,1923, , 
203,1923, , 
249,1923, , 
277,1923, , 
251,1923, , 
130,1924, , 
204,1924, , 
94,1924, , 
48,1924, , 
250,1924, , 
185,1924, , 
109,1925, , 
278,1925, , 
199,1925, , 
239,1925, , 
132,1925, , 
139,1925, , 
131,1925, , 
286,1926, , 
82,1926, , 
171,1926, , 
42,1926, , 
243,1926, , 
65,1926, , 
58,1926, , 
123,1926, , 
124,1926, , 
155,1926, , 
57,1926, , 
134,1927, , 
52,1927, , 
77,1927, , 
200,1927, , 
246,1927, , 
49,1927, , 
93,1927, , 
98,1927, , 
273,1927, , 
146,1927, , 
169,1927, , 
128,1927, , 
147,1927, , 
127,1927, , 
140,1927, , 
45,1928, , 
43,1928, , 
76,1928, , 
44,1928, , 
90,1928, , 
125,1928, , 
114,1928, , 
101,1928, , 
182,1928, , 
205,1928, , 
237,1928, , 
59,1929, , 
150,1929, , 
60,1929, , 
236,1929, , 
148,1929, , 
241,1929, , 
30,1929, , 
4,1929, , 
62,1929, , 
86,1929, , 
201,1929, , 
88,1929, , 
126,1930, , 
154,1930, , 
280,1930, , 
172,1930, , 
211,1930, , 
133,1930, , 
64,1930, , 
63,1930, , 
85,1930, , 
175,1930, , 
173,1930, , 
141,1930, , 
89,1930, , 
67,1931, , 
68,1931, , 
151,1931, , 
228,1931, , 
224,1931, , 
69,1931, , 
74,1931, , 
75,1931, , 
209,1931, , 
208,1931, , 
51,1931, , 
83,1931, , 
137,1931, , 
264,1931, , 
50,1931, , 
149,1931, , 
56,1932, , 
55,1932, , 
260,1932, , 
261,1932, , 
3,1932, , 
138,1932, , 
215,1932, , 
281,1932, , 
87,1932, , 
229,1932, , 
2,1932, , 
70,1932, , 
71,1932, , 
170,1932, , 
72,1932, , 
179,1933, , 
84,1933, , 
61,1933, , 
180,1933, , 
152,1933, , 
129,1933, , 
181,1933, , 
79,1934, , 
254,1934, , 
104,1935, , 
279,1935, , 
238,1935, , 
283,1935, , 
287,1935, , 
227,1936, , 
66,1936, , 
226,1936, , 
176,1936, , 
263,1936, , 
135,1936, , 
291,1937, , 
290,1937, , 
91,1938, , 
78,1938, , 
177,1938, , 
136,1939, , 
225,1939, , 
207,1939, , 
174,1939, , 
178,1939, , 
213,1940, , 
282,1940, , 
262,1941, , 
157,1946, , 
190,1946, , 
255,1947, , 
189,1949, , 
269,1950, , 
